material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
AlOx-HfO2,exp1,100,4,13.94579239704924,0.0027391354355988753,3.065486222729718,0.47718713919849165
AlOx-HfO2,exp1,100,5,13.945792397049246,0.0027391133665239306,3.0066937534325726,0.47014501669742614
AlOx-HfO2,exp1,100,6,13.486882397049243,0.0026259494100457055,4.448409060121419,0.6583963218266078
AlOx-HfO2,exp1,100,7,13.574452397049237,0.0026253775453845283,5.1650489226341,0.7699236083824879
AlOx-HfO2,exp1,100,8,13.895842397049245,0.002736100317921679,3.940490641968451,0.591112631074747
AlOx-HfO2,exp1,100,9,13.907542397049244,0.002737810158497332,4.214310652922427,0.6135270418980276
AlOx-HfO2,exp1,1,1,7.157610223970494,0.0012347988820809056,98.59733524306311,12.813812577962265
AlOx-HfO2,exp1,1,10,7.157610223970494,0.0012324316894032393,100.26082442199161,13.010354077685623
AlOx-HfO2,exp1,1,2,7.157610223970494,0.0012343234245151458,98.93087510122045,12.852290919064362
AlOx-HfO2,exp1,1,3,7.157610223970494,0.0012352753047998504,98.26730939499421,12.773532688570214
AlOx-HfO2,exp1,1,4,7.157610223970494,0.0012319610756753466,100.59355675465125,13.04983393209878
AlOx-HfO2,exp1,1,5,7.1576102239704955,0.001235752447730243,97.93355047294163,12.734646130135662
AlOx-HfO2,exp1,1,6,7.157610223970494,0.0012305551826207067,101.59356265985649,13.170670449247297
AlOx-HfO2,exp1,1,7,7.1576102239704955,0.0012352751944408416,98.26730939499421,12.773532688570214
AlOx-HfO2,exp1,1,8,7.157610223970494,0.0012338491050626417,99.26268968264085,12.891323840018115
AlOx-HfO2,exp1,1,9,7.1576102239704955,0.001234798846247262,98.59733524306311,12.813812577962265
AlOx-HfO2,exp1,50,1,13.927781198524624,0.0027369442887011735,5.2628498493264555,0.8153362711221028
AlOx-HfO2,exp1,50,10,13.895831198524627,0.002736076829389141,3.9512122199593267,0.5933217405113247
AlOx-HfO2,exp1,50,2,13.949471198524616,0.0027408124736618645,2.305482227618775,0.3675144875647831
AlOx-HfO2,exp1,50,3,13.927781198524624,0.002736940102057487,5.24935115658179,0.8133909918464077
AlOx-HfO2,exp1,50,4,14.36077119852462,0.0028385907944624795,4.6849900111130145,0.7492013871834473
AlOx-HfO2,exp1,50,5,14.225711198524625,0.0028419258684403135,4.500219338577602,0.6797221816171977
AlOx-HfO2,exp1,50,6,13.927781198524624,0.002736920047890194,5.188590809507598,0.8059688695113998
AlOx-HfO2,exp1,50,7,13.462211198524614,0.002623802389267779,4.252386902755014,0.6322644255456211
AlOx-HfO2,exp1,50,8,13.930751198524622,0.0027342050476066404,4.985345237704498,0.7677307525028745
