material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp2,21,29,3916887.958058913,20.052602889597193,0.015273256571907817,0.01339073824684699
Ag-aSi,exp2,21,3,3916833.0257697008,20.03948062931016,0.0038640812618189906,0.0036542178120645666
Ag-aSi,exp2,21,30,3918820.325055846,20.055049093916157,0.011374815339899558,0.010880205409021338
Ag-aSi,exp2,21,31,3912920.7833327656,20.031604783187202,0.011412632707419781,0.011217862412260676
Ag-aSi,exp2,21,32,3915002.616080456,20.041342959992644,0.008930377800776672,0.008925876530601798
Ag-aSi,exp2,21,33,3914519.1832589004,20.036907948748,0.007655111934477553,0.0076494516061402255
Ag-aSi,exp2,21,34,3920188.2098281505,20.043220460097366,0.0019757819526654207,0.0017561929816255143
Ag-aSi,exp2,21,35,3913861.940305054,20.03368524763622,0.0076516731572490275,0.007645700368023911
Ag-aSi,exp2,21,36,3859546.169960462,19.810131427176376,0.0013924057193174016,0.0013644089353283242
Ag-aSi,exp2,21,37,3879497.622403549,19.902964445799732,0.01406013879935694,0.013850492449735172
Ag-aSi,exp2,21,38,3918732.4504866023,20.054910714734557,0.009985190314816407,0.009785435733982403
Ag-aSi,exp2,21,39,3879023.5003358275,19.90679369662546,0.015911595936239326,0.015700425993813168
Ag-aSi,exp2,21,4,3916850.550200455,20.04781952605901,0.007642811275744618,0.007636770091120606
Ag-aSi,exp2,21,40,3917987.0186650665,20.05200687581952,0.010184865919373202,0.010181693887000676
Ag-aSi,exp2,21,41,3916941.7359850607,20.034609396156444,0.0028382292435673107,0.0026298215699915267
Ag-aSi,exp2,21,42,3916774.7674404536,20.044550348395283,0.01014346116293289,0.010140224505847601
Ag-aSi,exp2,21,43,3881570.9076250945,19.888639923971144,0.022498288551801082,0.02200219978978144
Ag-aSi,exp2,21,44,3914703.964695836,20.03381705654047,0.006392906466454768,0.006386185934781884
Ag-aSi,exp2,21,45,3947597.508625075,20.165256624226373,0.004271344714334585,0.0038762494328503554
Ag-aSi,exp2,21,46,3923732.2251020153,20.05857054273165,0.0022671386889860537,0.002056810789243931
Ag-aSi,exp2,21,47,3917483.9866865827,20.036157787274423,0.00291390462980918,0.0027043702232232105
Ag-aSi,exp2,21,48,3918712.8607635386,20.059294052360574,0.01140305383400852,0.011339832346396694
Ag-aSi,exp2,21,49,3981499.9794343095,20.276698728032848,0.019822542703064515,0.01928798319458655
Ag-aSi,exp2,21,5,3857118.329886612,19.797305862407438,0.0013850073321834417,0.001358161514609394
Ag-aSi,exp2,21,50,3919082.146603531,20.061850680452224,0.012667697674613239,0.012658861394821846
Ag-aSi,exp2,21,51,3915787.3767666384,20.03072408273878,0.0021335691330933416,0.0019263657669812975
Ag-aSi,exp2,21,52,4616544.960108174,23.772933508271805,0.012257423563935754,0.011943350988892116
Ag-aSi,exp2,21,53,3915328.812071226,20.040447986641187,0.0076419944911436865,0.007636281106675028
Ag-aSi,exp2,21,54,3916484.373477388,20.04047200537301,0.004521192976682414,0.004309848929082315
Ag-aSi,exp2,21,55,3918966.6962743145,20.061406735614412,0.013232738802511577,0.013030808886748574
Ag-aSi,exp2,21,56,3912080.2925788956,20.01511304677719,0.0038640590046773024,0.00383811353930215
Ag-aSi,exp2,21,57,3854121.8111327784,19.78183942004796,0.00010432320230338829,7.594779134643618e-05
Ag-aSi,exp2,21,58,3879710.7752004713,19.898447110036372,0.012156743931701281,0.011960738715129883
Ag-aSi,exp2,21,59,3896979.0839143083,19.968168807906224,0.014052261513696741,0.011150490751447672
Ag-aSi,exp2,21,6,3912080.2925788956,20.01511304675479,0.0038640590046773024,0.00383811353930215
Ag-aSi,exp2,21,60,3916086.3502496993,20.040447486923945,0.00763340458716123,0.007627150455629027
Ag-aSi,exp2,21,61,3915126.69220352,20.035326069098517,0.007643651335723018,0.007637061993780862
Ag-aSi,exp2,21,62,3918134.2234774167,20.056463459929475,0.012695729065868137,0.012686717988025358
Ag-aSi,exp2,21,63,3918248.301320452,20.0450786785048,0.0033285376088923076,0.0031181362863901365
Ag-aSi,exp2,21,64,3916936.8179881563,20.05114413505247,0.011844870167937631,0.011643953380024427
Ag-aSi,exp2,21,65,3916484.373477388,20.040472005450724,0.004521192976682414,0.004309848929082315
Ag-aSi,exp2,21,66,3859546.169960462,19.810131427071205,0.0013924057193174016,0.0013644089353283242
Ag-aSi,exp2,21,67,3912994.9999081492,20.037730787999827,0.015054718074360929,0.015046619303140243
Ag-aSi,exp2,21,68,3917987.0186650665,20.052006875852523,0.010184865919373202,0.010181693887000676
Ag-aSi,exp2,21,69,3909503.2065665824,19.999872014690105,0.002644551633129314,0.0026168415366362454
Ag-aSi,exp2,21,7,3915347.2512435317,20.03951037726064,0.010155768466129813,0.010152912113441102
Ag-aSi,exp2,21,70,3918228.215655847,20.049370353901956,0.00601537518322599,0.005805430342878821
Ag-aSi,exp2,21,71,3891209.232994313,19.943351076390083,0.01403876451824015,0.011222979739370358
Ag-aSi,exp2,21,72,3930657.2867973917,20.102596007044372,0.002189749910715532,0.001975371175015342
