material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp1,13,11,452.53053917969675,0.0020600041508686113,0.0042030909178664855,0.0030910043381412048
Ag-aSi,exp1,13,12,446.51898917969726,0.002053803695331072,0.0038547961849930723,0.0026733299371165236
Ag-aSi,exp1,13,13,453.8401891796965,0.002055834566196099,0.003667500887705573,0.0023564208089614826
Ag-aSi,exp1,13,14,446.082789179695,0.0020501430593873903,0.0032830980527834893,0.0022338722030749623
Ag-aSi,exp1,13,15,444.1170391796966,0.0020505423815862984,0.001663563925758494,0.0007939480977854713
Ag-aSi,exp1,13,16,451.7379391796963,0.002053242808771134,0.005211602507466513,0.0036822596833104328
Ag-aSi,exp1,13,17,441.32583917969487,0.002044404932371528,0.03302663321928614,0.022491946212406348
Ag-aSi,exp1,13,18,452.81523917969736,0.0020529673162648482,0.004936642983944327,0.0013796582535709726
Ag-aSi,exp1,13,19,441.9748891796976,0.002042338856120807,0.03511281992561846,0.024722427586175787
Ag-aSi,exp1,13,2,446.04288917969666,0.0020498701453077455,0.002897370938837691,0.001909075998071951
Ag-aSi,exp1,13,20,441.16533917969684,0.002048514450417495,0.02480027343732473,0.012906274506031162
Ag-aSi,exp1,13,21,452.3044891796967,0.00205513331661565,0.0026616554842811835,0.001669431730528837
Ag-aSi,exp1,13,22,436.39503917969654,0.0020482161407530787,0.009277135065857115,0.006433674953126951
Ag-aSi,exp1,13,23,445.3299391796938,0.0020571712253578517,0.0018499040660095024,0.0006996112143548636
Ag-aSi,exp1,13,24,451.93293917969635,0.002057349166321836,0.022052292287118833,0.011532565350478356
Ag-aSi,exp1,13,25,439.16238917969457,0.0020410179832762512,0.020699367255721832,0.008821501870600018
Ag-aSi,exp1,13,26,452.5465891796971,0.0020508213074977855,0.0038175916435581863,0.002311096557481498
Ag-aSi,exp1,13,27,447.67428917969494,0.0020573943256026466,0.002232976810549766,0.0013446787805820274
Ag-aSi,exp1,13,28,452.5465891796971,0.0020507724664728987,0.004066164448411125,0.001935343616754335
Ag-aSi,exp1,13,29,444.40878917969695,0.0020454423615803292,0.02911444842584785,0.016638626332599833
Ag-aSi,exp1,13,3,447.2602891796945,0.002045244522918173,0.0069876395103941925,0.006154590470538093
Ag-aSi,exp1,13,30,447.8533891796951,0.0020581984064976496,0.002543999195513759,0.0016082269931273197
Ag-aSi,exp1,13,31,449.09028917969465,0.0020580754107309453,0.0022671653314221725,0.001324779022323992
Ag-aSi,exp1,13,32,470.9094391796969,0.002060790404476042,0.04882166468908114,0.03666782704005773
