material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error,min_elapsed_time
AlOx-HfO2,exp1,100,2,76.97900138227668,0.04213755617325226,6.705706149821764,1.3637514463534632,3.2454142570495605
AlOx-HfO2,exp1,100,3,75.7552013822767,0.0405377764977281,4.914813794657297,1.0175237699454023,3.2775495052337646
AlOx-HfO2,exp1,100,4,75.21935138227691,0.04055288600833634,2.8570779114400104,0.7638133681466002,3.237435817718506
AlOx-HfO2,exp1,100,5,75.73490138227669,0.04059506863806682,4.3659474233890405,0.9004605702447641,3.2699570655822754
AlOx-HfO2,exp1,10,1,75.66213013822754,0.040996859229765724,5.382387172786355,1.1028330894618161,1.9291958808898926
AlOx-HfO2,exp1,10,2,77.35123013822758,0.041995354356396106,4.73421366236541,0.8895884492345694,1.8596382141113281
AlOx-HfO2,exp1,10,3,74.14918013822744,0.03897770263359648,5.2168486215690875,0.9602998246740917,1.9450035095214844
AlOx-HfO2,exp1,10,4,76.01078013822769,0.04058699011009722,5.122242442519472,1.05009804804018,1.851165533065796
AlOx-HfO2,exp1,10,5,75.3652801382278,0.04055471118351118,2.7311093828477726,0.7152245495468144,1.8704090118408203
AlOx-HfO2,exp1,1,1,38.80185301382282,0.01827800294347333,100.37812221295353,13.654370533692498,1.8144407272338867
AlOx-HfO2,exp1,1,2,38.80185301382282,0.018362996677879558,96.51736251093524,12.817529718363739,1.8063504695892334
AlOx-HfO2,exp1,1,3,38.80185301382282,0.018313173755439113,97.99682076479397,12.857806855344052,1.8495123386383057
AlOx-HfO2,exp1,1,4,38.80185301382282,0.01830611021526717,98.15433717194622,12.89455982234983,1.808415174484253
AlOx-HfO2,exp1,1,5,38.80185301382282,0.01834156161178122,97.05655463604269,12.790611188519728,1.8304777145385742
AlOx-HfO2,exp1,20,1,75.5185102764552,0.040606175650346577,4.729912155218983,0.9417951479965332,2.059896230697632
AlOx-HfO2,exp1,20,2,75.6814602764552,0.04058820653932456,4.329948539159755,0.9013136383167044,2.125866651535034
AlOx-HfO2,exp1,20,3,73.9397602764553,0.03896290713083339,4.7688445039690395,0.9161611783761465,2.0350258350372314
AlOx-HfO2,exp1,20,4,76.0242102764552,0.04056226763287024,5.012746095258385,1.0209279440416061,2.090813159942627
AlOx-HfO2,exp1,20,5,75.21911027645531,0.04055139564919161,2.662197936084597,0.6382866332663042,2.150688648223877
AlOx-HfO2,exp1,30,1,77.50094041468287,0.042090700660752565,6.637094058869987,1.3542122444832962,2.272653579711914
AlOx-HfO2,exp1,30,2,75.56159041468314,0.040614944644127085,3.8525261208990305,0.7694981463518324,2.210888624191284
AlOx-HfO2,exp1,30,3,75.52169041468281,0.040607034488465435,3.7706632504104376,0.753514730530707,2.2036144733428955
AlOx-HfO2,exp1,30,4,76.95889041468295,0.042141268892719054,6.683065846843577,1.3483173835566404,2.211876153945923
AlOx-HfO2,exp1,30,5,75.50454041468291,0.040650012266092474,1.964187326030373,0.5196836145323971,2.201568126678467
AlOx-HfO2,exp1,40,1,77.50097055291087,0.042092096453999084,6.714124384472443,1.3341551813614494,2.3923702239990234
AlOx-HfO2,exp1,40,2,76.02427055291064,0.04056228790274736,4.918698578150543,1.0211017194980734,2.4069015979766846
AlOx-HfO2,exp1,40,3,75.87797055291057,0.040548413061652376,4.7658631059479255,0.961402986733539,2.362384557723999
AlOx-HfO2,exp1,40,4,75.36537055291079,0.04055502022937038,2.7873516880249536,0.714434670450327,2.3656816482543945
AlOx-HfO2,exp1,40,5,75.66222055291084,0.04099711475179149,5.382387172786355,1.1028330894618161,2.3590638637542725
AlOx-HfO2,exp1,50,1,75.6607506911385,0.04066879559904855,2.25335468820059,0.515892766596906,2.5016260147094727
AlOx-HfO2,exp1,50,2,75.58815069113832,0.04054648390167355,2.2666656803224763,0.5441706847938619,2.583101987838745
AlOx-HfO2,exp1,50,3,76.6930506911384,0.04215592421556411,6.7957517517057155,1.292804850252761,2.578608751296997
AlOx-HfO2,exp1,50,4,75.21920069113861,0.04055265329569525,2.866244180927049,0.7634184361494256,2.5539979934692383
AlOx-HfO2,exp1,50,5,76.01090069113836,0.04058710378795831,5.009770107168761,1.0517092981480474,2.5274789333343506
AlOx-HfO2,exp1,60,1,77.55088082936582,0.04214505725872708,6.434276617790464,1.3242182036766632,2.704519748687744
AlOx-HfO2,exp1,60,2,77.50103082936603,0.04209238763467388,6.6997242114374975,1.3343921458012478,2.673367738723755
AlOx-HfO2,exp1,60,3,76.62658082936598,0.04215062470765858,6.737737875782914,1.326335092340008,2.700850248336792
AlOx-HfO2,exp1,60,4,75.21923082936594,0.0405705553334541,3.3272710878353386,0.8403615135550133,2.6311779022216797
